127.0.0.1 - - [09/May/2023:11:21:28 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/May/2023:11:21:34 +0530] "GET /Advance_Java_Assignment_3/login.jsp HTTP/1.1" 200 3183
0:0:0:0:0:0:0:1 - - [09/May/2023:11:21:35 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/May/2023:11:21:56 +0530] "POST /Advance_Java_Assignment_3/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2023:11:21:57 +0530] "GET /Advance_Java_Assignment_3/home.jsp HTTP/1.1" 200 4863
0:0:0:0:0:0:0:1 - - [09/May/2023:11:21:57 +0530] "GET /Advance_Java_Assignment_3/image.jsp?title=Puma HTTP/1.1" 500 32855
0:0:0:0:0:0:0:1 - - [09/May/2023:11:21:57 +0530] "GET /Advance_Java_Assignment_3/image.jsp?title=Nike%20Air%20Jordan HTTP/1.1" 500 109122
0:0:0:0:0:0:0:1 - - [09/May/2023:11:22:11 +0530] "GET /Advance_Java_Assignment_3/DeleteProduct?title=Puma HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2023:11:22:11 +0530] "GET /Advance_Java_Assignment_3/home.jsp HTTP/1.1" 200 3939
0:0:0:0:0:0:0:1 - - [09/May/2023:11:22:11 +0530] "GET /Advance_Java_Assignment_3/image.jsp?title=Nike%20Air%20Jordan HTTP/1.1" 500 109122
0:0:0:0:0:0:0:1 - - [09/May/2023:11:22:23 +0530] "GET /Advance_Java_Assignment_3/EditProduct.jsp?title=Nike%20Air%20Jordan&quantity=5&size=9 HTTP/1.1" 200 1917
0:0:0:0:0:0:0:1 - - [09/May/2023:11:22:35 +0530] "POST /Advance_Java_Assignment_3/Edit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2023:11:22:36 +0530] "GET /Advance_Java_Assignment_3/home.jsp HTTP/1.1" 200 3939
0:0:0:0:0:0:0:1 - - [09/May/2023:11:22:36 +0530] "GET /Advance_Java_Assignment_3/image.jsp?title=Nike%20Air%20Jordan HTTP/1.1" 500 109122
0:0:0:0:0:0:0:1 - - [09/May/2023:11:22:46 +0530] "POST /Advance_Java_Assignment_3/save HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/May/2023:11:22:58 +0530] "GET /Advance_Java_Assignment_3/home.jsp HTTP/1.1" 200 3939
0:0:0:0:0:0:0:1 - - [09/May/2023:11:23:45 +0530] "POST /Advance_Java_Assignment_3/save HTTP/1.1" 200 4054
0:0:0:0:0:0:0:1 - - [09/May/2023:11:23:45 +0530] "GET /Advance_Java_Assignment_3/image.jsp?title=Nike%20Air%20Jordan HTTP/1.1" 500 109122
0:0:0:0:0:0:0:1 - - [09/May/2023:11:24:49 +0530] "POST /Advance_Java_Assignment_3/save HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2023:11:24:50 +0530] "GET /Advance_Java_Assignment_3/home.jsp HTTP/1.1" 200 4863
0:0:0:0:0:0:0:1 - - [09/May/2023:11:24:50 +0530] "GET /Advance_Java_Assignment_3/image.jsp?title=Puma HTTP/1.1" 500 32855
0:0:0:0:0:0:0:1 - - [09/May/2023:11:24:50 +0530] "GET /Advance_Java_Assignment_3/image.jsp?title=Nike%20Air%20Jordan HTTP/1.1" 500 109122
0:0:0:0:0:0:0:1 - - [09/May/2023:11:25:24 +0530] "POST /Advance_Java_Assignment_3/Logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2023:11:25:24 +0530] "GET /Advance_Java_Assignment_3/login.jsp HTTP/1.1" 200 3183
